,Año,Trimestre,Provincia,Mbps (Media de bajada)
424,2018,1,Salta,9
425,2018,1,San Juan,6
426,2018,1,San Luis,6
427,2018,1,Santa Cruz,5
428,2018,1,Santa Fe,11
429,2018,1,Santiago Del Estero,6
430,2018,1,Tierra Del Fuego,6
431,2018,1,Tucumán,9
432,2017,4,Buenos Aires,13
433,2017,4,Capital Federal,15
434,2017,4,Catamarca,8
435,2017,4,Chaco,12
436,2017,4,Chubut,5
437,2017,4,Córdoba,12
438,2017,4,Corrientes,10
439,2017,4,Entre Ríos,9
440,2017,4,Formosa,10
441,2017,4,Jujuy,7
442,2017,4,La Pampa,4
443,2017,4,La Rioja,6
444,2017,4,Mendoza,6
445,2017,4,Misiones,11
446,2017,4,Neuquén,11
447,2017,4,Río Negro,8
448,2017,4,Salta,8
449,2017,4,San Juan,6
450,2017,4,San Luis,6
451,2017,4,Santa Cruz,5
452,2017,4,Santa Fe,10
453,2017,4,Santiago Del Estero,6
454,2017,4,Tierra Del Fuego,5
455,2017,4,Tucumán,9
456,2017,3,Buenos Aires,8
457,2017,3,Capital Federal,11
458,2017,3,Catamarca,5
459,2017,3,Chaco,8
460,2017,3,Chubut,3
461,2017,3,Córdoba,9
462,2017,3,Corrientes,7
463,2017,3,Entre Ríos,7
464,2017,3,Formosa,7
465,2017,3,Jujuy,5
466,2017,3,La Pampa,3
467,2017,3,La Rioja,5
468,2017,3,Mendoza,4
469,2017,3,Misiones,8
470,2017,3,Neuquén,8
471,2017,3,Río Negro,5
472,2017,3,Salta,6
473,2017,3,San Juan,3
474,2017,3,San Luis,4
475,2017,3,Santa Cruz,4
476,2017,3,Santa Fe,8
477,2017,3,Santiago Del Estero,5
478,2017,3,Tierra Del Fuego,3
479,2017,3,Tucumán,6
480,2017,2,Buenos Aires,7
481,2017,2,Capital Federal,9
482,2017,2,Catamarca,5
483,2017,2,Chaco,8
484,2017,2,Chubut,3
485,2017,2,Córdoba,7
486,2017,2,Corrientes,7
487,2017,2,Entre Ríos,6
488,2017,2,Formosa,6
489,2017,2,Jujuy,5
490,2017,2,La Pampa,3
491,2017,2,La Rioja,6
492,2017,2,Mendoza,4
493,2017,2,Misiones,8
494,2017,2,Neuquén,7
495,2017,2,Río Negro,5
496,2017,2,Salta,6
497,2017,2,San Juan,3
498,2017,2,San Luis,4
499,2017,2,Santa Cruz,4
500,2017,2,Santa Fe,7
501,2017,2,Santiago Del Estero,5
502,2017,2,Tierra Del Fuego,3
503,2017,2,Tucumán,6
504,2017,1,Buenos Aires,7
505,2017,1,Capital Federal,8
506,2017,1,Catamarca,5
507,2017,1,Chaco,7
508,2017,1,Chubut,3
509,2017,1,Córdoba,7
510,2017,1,Corrientes,6
511,2017,1,Entre Ríos,6
512,2017,1,Formosa,6
513,2017,1,Jujuy,4
514,2017,1,La Pampa,3
515,2017,1,La Rioja,5
516,2017,1,Mendoza,4
517,2017,1,Misiones,7
518,2017,1,Neuquén,6
519,2017,1,Río Negro,4
520,2017,1,Salta,5
521,2017,1,San Juan,3
522,2017,1,San Luis,4
523,2017,1,Santa Cruz,4
524,2017,1,Santa Fe,6
525,2017,1,Santiago Del Estero,5
526,2017,1,Tierra Del Fuego,3
527,2017,1,Tucumán,6
528,2016,4,Buenos Aires,6
529,2016,4,Capital Federal,8
530,2016,4,Catamarca,5
531,2016,4,Chaco,7
532,2016,4,Chubut,3
533,2016,4,Córdoba,6
534,2016,4,Corrientes,6
535,2016,4,Entre Ríos,6
536,2016,4,Formosa,6
537,2016,4,Jujuy,4
538,2016,4,La Pampa,3
539,2016,4,La Rioja,5
540,2016,4,Mendoza,4
541,2016,4,Misiones,7
542,2016,4,Neuquén,6
543,2016,4,Río Negro,4
544,2016,4,Salta,5
545,2016,4,San Juan,3
546,2016,4,San Luis,4
547,2016,4,Santa Cruz,4
548,2016,4,Santa Fe,6
549,2016,4,Santiago Del Estero,5
550,2016,4,Tierra Del Fuego,3
551,2016,4,Tucumán,6
552,2016,3,Buenos Aires,6
553,2016,3,Capital Federal,7
554,2016,3,Catamarca,5
555,2016,3,Chaco,7
556,2016,3,Chubut,3
557,2016,3,Córdoba,6
558,2016,3,Corrientes,6
559,2016,3,Entre Ríos,6
560,2016,3,Formosa,5
561,2016,3,Jujuy,4
562,2016,3,La Pampa,3
563,2016,3,La Rioja,5
564,2016,3,Mendoza,4
565,2016,3,Misiones,7
566,2016,3,Neuquén,5
567,2016,3,Río Negro,4
568,2016,3,Salta,5
569,2016,3,San Juan,3
570,2016,3,San Luis,4
571,2016,3,Santa Cruz,4
572,2016,3,Santa Fe,6
573,2016,3,Santiago Del Estero,5
574,2016,3,Tierra Del Fuego,3
575,2016,3,Tucumán,6
576,2016,2,Buenos Aires,5
577,2016,2,Capital Federal,7
578,2016,2,Catamarca,4
579,2016,2,Chaco,6
580,2016,2,Chubut,3
581,2016,2,Córdoba,6
582,2016,2,Corrientes,6
583,2016,2,Entre Ríos,5
584,2016,2,Formosa,5
585,2016,2,Jujuy,4
586,2016,2,La Pampa,3
587,2016,2,La Rioja,5
588,2016,2,Mendoza,4
589,2016,2,Misiones,6
590,2016,2,Neuquén,5
591,2016,2,Río Negro,4
592,2016,2,Salta,5
593,2016,2,San Juan,3
594,2016,2,San Luis,4
595,2016,2,Santa Cruz,4
596,2016,2,Santa Fe,5
597,2016,2,Santiago Del Estero,4
598,2016,2,Tierra Del Fuego,3
599,2016,2,Tucumán,5
600,2016,1,Buenos Aires,5
601,2016,1,Capital Federal,6
602,2016,1,Catamarca,4
603,2016,1,Chaco,6
604,2016,1,Chubut,3
605,2016,1,Córdoba,5
606,2016,1,Corrientes,5
607,2016,1,Entre Ríos,5
608,2016,1,Formosa,5
609,2016,1,Jujuy,4
610,2016,1,La Pampa,3
611,2016,1,La Rioja,5
612,2016,1,Mendoza,4
613,2016,1,Misiones,6
614,2016,1,Neuquén,4
615,2016,1,Río Negro,4
616,2016,1,Salta,5
617,2016,1,San Juan,3
618,2016,1,San Luis,4
619,2016,1,Santa Cruz,3
620,2016,1,Santa Fe,5
621,2016,1,Santiago Del Estero,4
622,2016,1,Tierra Del Fuego,3
623,2016,1,Tucumán,5
624,2015,4,Buenos Aires,5
625,2015,4,Capital Federal,6
626,2015,4,Catamarca,4
627,2015,4,Chaco,6
628,2015,4,Chubut,3
629,2015,4,Córdoba,5
630,2015,4,Corrientes,5
631,2015,4,Entre Ríos,5
632,2015,4,Formosa,5
633,2015,4,Jujuy,4
634,2015,4,La Pampa,3
635,2015,4,La Rioja,5
636,2015,4,Mendoza,4
637,2015,4,Misiones,6
638,2015,4,Neuquén,4
639,2015,4,Río Negro,4
640,2015,4,Salta,5
641,2015,4,San Juan,3
642,2015,4,San Luis,4
643,2015,4,Santa Cruz,3
644,2015,4,Santa Fe,5
645,2015,4,Santiago Del Estero,4
646,2015,4,Tierra Del Fuego,3
647,2015,4,Tucumán,5
648,2015,3,Buenos Aires,5
649,2015,3,Capital Federal,6
650,2015,3,Catamarca,4
651,2015,3,Chaco,5
652,2015,3,Chubut,3
653,2015,3,Córdoba,5
654,2015,3,Corrientes,5
655,2015,3,Entre Ríos,5
656,2015,3,Formosa,4
657,2015,3,Jujuy,4
658,2015,3,La Pampa,3
659,2015,3,La Rioja,4
660,2015,3,Mendoza,4
661,2015,3,Misiones,6
662,2015,3,Neuquén,4
663,2015,3,Río Negro,4
664,2015,3,Salta,4
665,2015,3,San Juan,3
666,2015,3,San Luis,4
667,2015,3,Santa Cruz,3
668,2015,3,Santa Fe,5
669,2015,3,Santiago Del Estero,4
670,2015,3,Tierra Del Fuego,3
671,2015,3,Tucumán,5
672,2015,2,Buenos Aires,4
673,2015,2,Capital Federal,5
674,2015,2,Catamarca,4
675,2015,2,Chaco,5
676,2015,2,Chubut,3
677,2015,2,Córdoba,5
678,2015,2,Corrientes,5
679,2015,2,Entre Ríos,5
680,2015,2,Formosa,4
681,2015,2,Jujuy,3
682,2015,2,La Pampa,3
683,2015,2,La Rioja,4
684,2015,2,Mendoza,4
685,2015,2,Misiones,5
686,2015,2,Neuquén,4
687,2015,2,Río Negro,4
688,2015,2,Salta,4
689,2015,2,San Juan,3
690,2015,2,San Luis,4
691,2015,2,Santa Cruz,3
692,2015,2,Santa Fe,4
693,2015,2,Santiago Del Estero,4
694,2015,2,Tierra Del Fuego,3
695,2015,2,Tucumán,4
696,2015,1,Buenos Aires,4
697,2015,1,Capital Federal,5
698,2015,1,Catamarca,3
699,2015,1,Chaco,5
700,2015,1,Chubut,3
701,2015,1,Córdoba,4
702,2015,1,Corrientes,5
703,2015,1,Entre Ríos,4
704,2015,1,Formosa,3
705,2015,1,Jujuy,3
706,2015,1,La Pampa,3
707,2015,1,La Rioja,4
708,2015,1,Mendoza,4
709,2015,1,Misiones,5
710,2015,1,Neuquén,4
711,2015,1,Río Negro,4
712,2015,1,Salta,4
713,2015,1,San Juan,3
714,2015,1,San Luis,4
715,2015,1,Santa Cruz,3
716,2015,1,Santa Fe,4
717,2015,1,Santiago Del Estero,4
718,2015,1,Tierra Del Fuego,3
719,2015,1,Tucumán,4
720,2014,4,Buenos Aires,4
721,2014,4,Capital Federal,5
722,2014,4,Catamarca,3
723,2014,4,Chaco,4
724,2014,4,Chubut,3
725,2014,4,Córdoba,4
726,2014,4,Corrientes,4
727,2014,4,Entre Ríos,4
728,2014,4,Formosa,3
729,2014,4,Jujuy,3
730,2014,4,La Pampa,3
731,2014,4,La Rioja,4
732,2014,4,Mendoza,4
733,2014,4,Misiones,4
