,Provincia,Poblacion
481,MISIONES,486
482,MISIONES,219
483,MISIONES,277
484,MISIONES,832
485,MISIONES,603
486,MISIONES,1433
487,MISIONES,24083
488,MISIONES,3165
489,MISIONES,291
490,MISIONES,2627
491,MISIONES,732
492,MISIONES,252
493,MISIONES,5338
494,CATAMARCA,0
495,CATAMARCA,1096
496,CATAMARCA,403
497,CATAMARCA,734
498,CATAMARCA,741
499,CATAMARCA,184
500,CATAMARCA,378
501,CATAMARCA,0
502,CATAMARCA,730
503,CATAMARCA,45
504,CATAMARCA,263
505,CATAMARCA,43
506,CATAMARCA,330
507,CATAMARCA,12256
508,CATAMARCA,254
509,CATAMARCA,1204
510,CATAMARCA,378
511,CATAMARCA,1463
512,CATAMARCA,987
513,CATAMARCA,361
514,CATAMARCA,236
515,CATAMARCA,258
516,CATAMARCA,2456
517,CATAMARCA,215
518,CATAMARCA,575
519,CORDOBA,1171
520,CORDOBA,263
521,CORDOBA,0
522,CORDOBA,0
523,CORDOBA,3843
524,CORDOBA,494
525,CORDOBA,487
526,CORDOBA,679
527,CORDOBA,1476
528,CORDOBA,995
529,CORDOBA,1364
530,CORDOBA,2491
531,CORDOBA,483
532,CORDOBA,251
533,CORDOBA,1242
534,CORDOBA,282
535,CORDOBA,0
536,CORDOBA,17
537,CORDOBA,130
538,LA PAMPA,102860
539,LA PAMPA,3955
540,LA PAMPA,46
541,LA PAMPA,1680
542,LA PAMPA,964
543,LA PAMPA,2526
544,LA PAMPA,1499
545,LA PAMPA,323
546,LA PAMPA,676
547,LA PAMPA,7510
548,SANTA FE,14582
549,SANTA FE,4876
550,SANTA FE,11181
551,SANTA FE,1230
552,SANTA FE,12375
553,SANTA FE,13068
554,SANTA FE,2655
555,SANTA FE,2234
556,SANTA FE,6533
557,SANTA FE,3089
558,SANTA FE,2225
559,TUCUMAN,1906
560,TUCUMAN,3403
561,TUCUMAN,620
562,TUCUMAN,528
563,TUCUMAN,1132
564,TUCUMAN,294
565,TUCUMAN,1455
566,TUCUMAN,11494
567,TUCUMAN,865
568,TUCUMAN,39601
569,TUCUMAN,599
570,TUCUMAN,52960
571,TUCUMAN,471
572,TUCUMAN,3065
573,TUCUMAN,4429
574,TUCUMAN,1703
575,MENDOZA,419
576,MENDOZA,499
577,MENDOZA,232
578,MENDOZA,18
579,MENDOZA,3529
580,MENDOZA,526
581,MENDOZA,382
582,MENDOZA,850
583,MENDOZA,3635
584,MENDOZA,1343
585,MENDOZA,118009
586,MENDOZA,3311
587,MENDOZA,271
588,MENDOZA,177
589,TUCUMAN,1934
590,TUCUMAN,1237
591,TUCUMAN,2791
592,TUCUMAN,0
593,TUCUMAN,2157
594,TUCUMAN,14582
595,TUCUMAN,9620
596,TUCUMAN,5029
597,TUCUMAN,21088
598,TUCUMAN,2683
599,TUCUMAN,513
600,TUCUMAN,23274
601,TUCUMAN,3530
602,TUCUMAN,5131
603,SANTIAGO DEL ESTERO,6352
604,SANTIAGO DEL ESTERO,4197
605,SANTIAGO DEL ESTERO,12886
606,SANTIAGO DEL ESTERO,5463
607,SANTIAGO DEL ESTERO,932
608,SANTIAGO DEL ESTERO,539
609,SANTIAGO DEL ESTERO,2573
610,SANTIAGO DEL ESTERO,829
611,SANTIAGO DEL ESTERO,1878
612,SANTIAGO DEL ESTERO,388
613,SANTIAGO DEL ESTERO,1512
614,SANTIAGO DEL ESTERO,303
615,SANTIAGO DEL ESTERO,2584
616,NEUQUEN,27956
617,NEUQUEN,105
618,NEUQUEN,403
619,NEUQUEN,4877
620,NEUQUEN,11063
621,NEUQUEN,356
622,NEUQUEN,2481
623,NEUQUEN,733
624,NEUQUEN,1128
625,NEUQUEN,201
626,NEUQUEN,334
627,NEUQUEN,445
628,NEUQUEN,197
629,NEUQUEN,607
630,RIO NEGRO,30028
631,RIO NEGRO,607
632,RIO NEGRO,66
633,RIO NEGRO,243
634,RIO NEGRO,565
635,RIO NEGRO,69
636,RIO NEGRO,282
637,RIO NEGRO,67
638,RIO NEGRO,936
639,RIO NEGRO,63
640,RIO NEGRO,46
641,RIO NEGRO,11733
642,RIO NEGRO,16
643,RIO NEGRO,44
644,RIO NEGRO,1497
645,RIO NEGRO,3469
646,RIO NEGRO,102
647,RIO NEGRO,261
648,RIO NEGRO,0
649,BUENOS AIRES,7916
650,BUENOS AIRES,537
651,BUENOS AIRES,811
652,BUENOS AIRES,6557
653,BUENOS AIRES,1397
654,BUENOS AIRES,23
655,BUENOS AIRES,1176
656,BUENOS AIRES,38
657,BUENOS AIRES,0
658,BUENOS AIRES,509
659,BUENOS AIRES,0
660,BUENOS AIRES,0
661,BUENOS AIRES,415
662,BUENOS AIRES,644
663,LA PAMPA,204
664,SANTA FE,151
665,LA PAMPA,688
666,LA PAMPA,329
667,LA PAMPA,657
668,LA PAMPA,464
669,LA PAMPA,9253
670,LA PAMPA,291
671,LA PAMPA,470
672,LA PAMPA,219
673,LA PAMPA,2222
674,LA PAMPA,413
675,LA PAMPA,420
676,LA PAMPA,1759
677,LA PAMPA,935
678,LA PAMPA,3697
679,LA PAMPA,39
680,RIO NEGRO,757
681,RIO NEGRO,106
682,RIO NEGRO,113
683,RIO NEGRO,81
684,RIO NEGRO,4807
685,RIO NEGRO,194
686,RIO NEGRO,381
687,RIO NEGRO,4
688,RIO NEGRO,8
689,RIO NEGRO,16265
690,RIO NEGRO,7404
691,RIO NEGRO,155
692,RIO NEGRO,168
693,RIO NEGRO,30
694,RIO NEGRO,32
695,RIO NEGRO,74
696,RIO NEGRO,3867
697,CABA,13822
698,CATAMARCA,636
699,CATAMARCA,4531
700,CATAMARCA,854
701,CATAMARCA,1951
702,CATAMARCA,387
703,CATAMARCA,653
704,CATAMARCA,158
705,LA PAMPA,466
706,CABA,35081
707,CORDOBA,2256
708,CORDOBA,11422
709,CORDOBA,495
710,CORDOBA,1727
711,CORDOBA,1497
712,CATAMARCA,2416
713,CATAMARCA,383
714,CATAMARCA,0
